room,routine,movex,movey,movefrm,oldmovex,oldmovey,oldmovefrm,delay,delaycounter,var1,colour,origroom,origx,origy,origfrm
49,hawk,60,80,97,,,0,2,0,0,29,49,60,80,97
55,pickupable,48,144,1,,,0,0,0,0,66,55,48,144,1
51,portcullis,76,136,120,96,136,0,4,0,0,7,51,76,96,120
51,portswitch,66,78,122,0,0,0,0,0,0,69,51,66,78,122
22,pickupable,68,136,105,,,,,0,0,71,255,68,136,105
22,crowbar,72,136,105,,,,,0,0,199,255,72,136,105
72,pickupable,62,144,11,,,0,0,0,0,71,72,62,144,11
58,pickupable,72,170,3,,,0,0,0,0,66,58,72,170,3
36,pickupable,58,136,17,,,,,0,0,68,255,58,136,17
100,pickupable,52,160,6,,,0,0,0,0,71,100,52,160,6
22,pickupable,68,160,2,,,,,0,0,68,255,62,144,2
93,pickupable,80,152,10,,,,,0,0,71,93,80,152,10
50,pickupable,86,160,138,,,,,0,0,66,50,86,160,138
50,armorog,54,156,102,0,0,0,2,0,0,74,50,54,156,102
54,dragon,68,152,109,0,0,0,0,0,0,66,54,68,152,109
45,pickupable,80,128,15,,,,,0,0,70,255,80,128,15
53,crocodile,70,152,123,0,0,0,0,0,0,12,53,70,152,123
68,pickupable,76,160,14,,,,,0,0,71,255,76,160,14
35,pickupable,58,136,139,,,,,0,0,66,35,58,136,139
53,pickupable,90,144,136,,,,,0,0,66,53,90,144,136
48,log,60,136,158,0,0,0,4,0,0,10,48,60,136,158
53,pickupable,50,136,18,,,,,0,0,70,53,50,136,18
71,lift,52,56,125,56,112,0,1,0,0,23,71,52,48,125
56,machines,50,116,127,0,0,0,32,0,0,69,56,50,116,127
85,pickupable,46,136,13,,,,,0,0,70,85,46,136,13
40,lift,40,56,125,56,134,0,1,0,0,23,40,40,56,125
56,machines,72,116,127,0,0,0,32,0,0,69,56,72,116,127
24,pickupable,80,136,13,,,,,0,0,70,24,80,136,13
88,lift,58,56,125,56,136,0,1,0,0,23,88,58,48,125
56,machines,52,156,127,0,0,0,32,0,0,69,56,52,156,127
60,pickupable,60,120,13,,,,,0,0,70,60,60,120,13
56,lift,60,104,125,104,140,0,1,0,0,23,56,60,104,125
56,machines,70,156,127,0,0,0,32,0,0,69,56,70,156,127
48,pickupable,40,96,13,,,,,0,0,70,48,40,96,13
83,pickupable,80,144,5,,,,,0,0,69,83,80,144,5
60,pickupable,46,144,5,,,,,0,0,69,255,46,144,5
59,pickupable,52,102,206,,,0,0,0,0,68,59,52,102,206
58,pickupable,60,160,7,,,0,0,0,0,71,58,60,160,7
55,pickupable,58,136,206,,,0,0,0,0,68,55,58,136,206
55,pickupable,76,128,192,,,0,0,0,0,66,55,76,128,192
45,pickupable,74,116,32,,,,,0,0,71,45,74,116,32
45,dozyfloat,68,139,32,0,0,0,0,0,0,95,45,68,139,32
36,pickupable,68,144,19,,,,,0,0,69,36,68,144,19
36,pickupable,72,144,20,,,,,0,0,70,36,72,144,20
36,rat,42,73,104,44,80,0,2,0,0,29,36,96,73,104
36,troll,78,136,96,44,80,0,0,0,0,68,36,78,136,96
69,dagger,78,136,169,0,0,0,0,0,0,71,69,40,112,169
89,pickupable,58,136,21,,,,,0,0,70,89,58,136,21
84,door,34,144,177,0,0,0,0,0,0,2,84,34,144,177
88,pickupable,42,76,36,,,,,0,0,71,88,42,76,36
40,dragon,68,152,109,0,0,0,0,0,0,68,40,68,152,109
40,pickupable,60,152,10,,,0,0,0,0,71,40,60,152,10
88,pickupable,48,80,4,,,,,0,0,69,255,48,80,4
55,crowbar,46,160,158,0,0,0,0,0,0,2,55,46,160,158
87,pickupable,64,80,9,,,,,0,0,66,87,64,80,9
41,crowbar,36,101,146,0,0,0,0,0,0,10,41,36,101,146
41,miner,96,120,96,44,80,0,0,0,0,68,41,96,120,96
94,dagger,42,152,169,0,0,0,0,0,0,71,94,42,152,169
94,dagger,50,152,169,0,0,0,0,0,0,71,94,50,152,169
40,pickupable,52,112,12,,,,,0,0,66,40,52,112,12
94,crowbar,40,152,210,0,0,0,0,0,0,2,255,40,152,210
94,crowbar,46,152,210,0,0,0,0,0,0,2,255,46,152,210
94,lift,74,56,125,56,120,0,2,0,0,7,94,74,48,125
94,daisy,75,80,35,0,0,0,2,0,0,95,94,75,80,35
94,switch1,62,70,122,0,0,0,2,0,0,77,94,62,70,122
59,pickupable,72,147,34,,,,,0,0,71,59,72,147,34
68,pickupable,80,155,33,,,,,0,0,71,68,80,155,33
73,daisy1,48,77,35,0,0,0,2,0,0,71,255,48,77,35
56,pickupable,84,128,192,,,0,0,0,0,66,56,84,128,192
72,pickupable,76,80,192,,,0,0,0,0,66,72,76,80,192
73,pickupable,56,72,204,,,0,0,0,0,68,73,56,72,204
52,pickupable,86,88,192,,,0,0,0,0,71,52,86,88,192
